idproducto_onu;nombreproducto_onu;id_nivel3;nombre_nivel3;nombre_nivel2;nombre_nivel1
10111301;Juguetes para mascotas;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111302;Alimento para mascotas;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111303;Artículos para desechos animales;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111304;Comederos para mascotas;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111305;Fármacos veterinarios;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111306;Kits de adiestramiento de animales domésticos;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10111307;Mantas para animales domésticos;10111300;Accesorios y tratamientos para mascotas;Artículos para mascotas;Artículos para plantas y animales
10121501;Salvado de trigo puro;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121502;Avena para pienso;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121503;Maíz para pienso;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121504;Sorgo para pienso;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121505;Heno;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121506;Tortas de borujo;10121500;Alimento para ganado;Alimento para animales;Artículos para plantas y animales
10121601;Alimento vivo para aves;10121600;Alimento para aves de corral;Alimento para animales;Artículos para plantas y animales
10121602;Alpiste;10121600;Alimento para aves de corral;Alimento para animales;Artículos para plantas y animales
10121603;Tentempié o piscolabis para aves;10121600;Alimento para aves de corral;Alimento para animales;Artículos para plantas y animales
10121604;Alimento para aves;10121600;Alimento para aves de corral;Alimento para animales;Artículos para plantas y animales
10121701;Salmuera fresca o congelada;10121700;Alimento para peces;Alimento para animales;Artículos para plantas y animales
10121702;Alimento granulado para peces;10121700;Alimento para peces;Alimento para animales;Artículos para plantas y animales
10121703;Alimento en copos para peces;10121700;Alimento para peces;Alimento para animales;Artículos para plantas y animales
10121801;Alimento seco para perros y gatos;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121802;Alimento húmedo para perros y gatos;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121803;Leche para perros y gatos;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121804;Alimento seco para gatos;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121805;Alimento húmedo para gatos;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121806;Tentempié o piscolabis para gatos y perros;10121800;Alimento para perros y gatos;Alimento para animales;Artículos para plantas y animales
10121901;Alimento granulado para roedores;10121900;Alimento para roedores;Alimento para animales;Artículos para plantas y animales
10122001;Alimento granulado para reptiles;10122000;Alimento para reptiles;Alimento para animales;Artículos para plantas y animales
10122002;Alimento húmedo para reptiles;10122000;Alimento para reptiles;Alimento para animales;Artículos para plantas y animales
10122003;Alimento vivo para reptiles;10122000;Alimento para reptiles;Alimento para animales;Artículos para plantas y animales
10122101;Comida para cerdos;10122100;Comida para animales varios;Alimento para animales;Artículos para plantas y animales
10122102;Comida para visones;10122100;Comida para animales varios;Alimento para animales;Artículos para plantas y animales
10122103;Comida para monos;10122100;Comida para animales varios;Alimento para animales;Artículos para plantas y animales
10131506;Establos para ganado;10131500;Cobertizos para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131507;Casas para animales domésticos;10131500;Cobertizos para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131508;Camas de animales domésticos;10131500;Cobertizos para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131601;Jaulas y accesorios;10131600;Refugio para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131602;Perreras;10131600;Refugio para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131603;Jaulas para traslado de animales;10131600;Refugio para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131604;Correas para perros;10131600;Refugio para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131701;Terrarios;10131700;Hábitats para animales;Casas y jaulas para animales;Artículos para plantas y animales
10131702;Acuarios;10131700;Hábitats para animales;Casas y jaulas para animales;Artículos para plantas y animales
10141501;Sillas de montar;10141500;Artículos de talabartería;Artículos de talabartería y arreos;Artículos para plantas y animales
10141502;Fustas;10141500;Artículos de talabartería;Artículos de talabartería y arreos;Artículos para plantas y animales
10141503;Herraduras para caballos;10141500;Herraduras;Artículos de talabartería y arreos;Artículos para plantas y animales
10141504;Herraduras para mulas;10141500;Herraduras;Artículos de talabartería y arreos;Artículos para plantas y animales
10141601;Bridas;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141602;Yugos;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141603;Bocados para caballos;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141604;Riendas;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141605;Estribos;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141606;Correas o traíllas;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141607;Collares para animales;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141608;Arneses o accesorios;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141609;Sujeciones;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141610;Bozales;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10141611;Soportes para correas;10141600;Arneses;Artículos de talabartería y arreos;Artículos para plantas y animales
10151501;Semillas o almácigos de porotos verdes;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151502;Semillas o almácigos de zanahoria;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151503;Semillas o almácigos de apio;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151504;Semillas o almácigos de ajíes;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151505;Semillas o almácigos de zapallo italiano;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151506;Semillas o almácigos de arvejas;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151507;Semillas o almácigos de pepino;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151508;Semillas o almácigos de berenjena;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151509;Semillas o almácigos de endibia;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151510;Semillas o almácigos de ajo;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151511;Semillas o almácigos de puerro;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151512;Semillas o almácigos de lechuga;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151513;Semillas o almácigos de maíz;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151514;Semillas o almácigos de melón;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151515;Semillas o almácigos de cebolla;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151516;Semillas o almácigos de soja;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151517;Semillas o almácigos de espinaca;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151518;Semillas o almácigos de tomate;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151519;Semillas o almácigos de nabo;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151520;Semillas o almácigos de acelga;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151521;Semillas o almácigos de pimienta dulce;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151522;Semillas o almácigos de remolacha;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151523;Semillas o almácigos de coliflor;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151524;Semillas o almácigos de perejil;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151525;Semillas o almácigos de brócolis;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151526;Semillas o almácigos de repollo;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151527;Semillas o almácigos de papas;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151528;Semillas o almácigos de camote;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151529;Semillas o almácigos de calabaza;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151530;Semillas o almácigos de rábano;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151531;Semillas o almácigos de Bruselas;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151532;Semillas o almácigos de calabaza dulce;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151533;Semillas o almácigos de okra;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151534;Semillas o almácigos de melón calameño;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151535;Semillas o almácigos de maní;10151500;Semillas y almácigos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151601;Semillas de trigo;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151602;Semillas de colza;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151603;Semillas de cebada;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151604;Semillas de mijo;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151605;Semillas de avena;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151606;Semillas de sésamo;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151607;Semillas de lino;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151608;Semillas de aceite de ricino;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151609;Semillas de maíz;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151610;Semillas de centeno;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151611;Semillas de sorgo;10151600;Semillas de cereales;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151701;Semillas o almácigos de arroz;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151702;Semillas o almácigos de trébol;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151703;Semillas o almácigos de alfalfa;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151704;Semillas o almácigos de hierba;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151705;Semillas o almácigos de ruda inglesa;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151706;Semillas o almácigos de guar;10151700;Semillas y almácigos de hierbas y forraje;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151801;Semillas o almácigos de pimienta;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151802;Semillas o almácigos de vainilla;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151803;Semillas o almácigos de canela;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151804;Semillas o almácigos de clavo de olor;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151805;Semillas o almácigos de cilantro;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151806;Semillas o almácigos de jengibre;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151807;Semillas o almácigos de azafrán;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151808;Semillas o almácigos de tomillo;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151809;Semillas o almácigos de curry;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151810;Semillas o almácigos de mostaza;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151811;Semillas o almácigos de ginseng;10151800;Semillas y almácigos de especias;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151901;Semillas, bulbos, almácigos o esquejes de tulipanes;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151902;Semillas, almácigos o esquejes de rosas;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151903;Semillas, bulbos, almácigos o esquejes de narciso;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151904;Semillas de girasol;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151905;Bulbos o almácigos de jacinto;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151906;Bulbos de lirios;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10151907;Semillas o almácigos de arvejilla vellosa;10151900;Semillas, bulbos, almácigos y tallos de flores;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152001;Semillas o esquejes de árboles frutales;10152000;Semillas y tallos de árboles y arbustos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152002;Semillas o esquejes de coníferas;10152000;Semillas y tallos de árboles y arbustos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152003;Semillas o esquejes de árboles de frutos secos;10152000;Semillas y tallos de árboles y arbustos;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152101;Extracción de los residuos de semilla de babool;10152100;Residuos vegetales no alimentarios;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152102;Residuos de semilla de colza;10152100;Residuos vegetales no alimentarios;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152103;Residuo de la linaza;10152100;Residuos vegetales no alimentarios;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152104;Torta de borujo de neem;10152100;Residuos vegetales no alimentarios;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152201;Semillas o plantas de algodón;10152200;Semillas de cultivos fibrosos y semilleros;Semillas, bulbos y almácigos;Artículos para plantas y animales
10152202;Semillas o plántulas de lino;10152200;Semillas de cultivos fibrosos y semilleros;Semillas, bulbos y almácigos;Artículos para plantas y animales
10161501;Olivos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161502;Cafetos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161503;Cacaos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161504;Manzanos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161505;Melocotoneros;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161506;Naranjos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161507;Arbustos de rododendro;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161508;Arbustos de té;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161509;Coníferas;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161510;Píceas;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161511;Pinos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161512;Abetos;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161513;Palmeras;10161500;Árboles y arbustos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161601;Rosales;10161600;Plantas con flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161602;Poinsetias o flores de Pascua;10161600;Plantas con flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161603;Orquídeas;10161600;Plantas con flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161604;Azaleas;10161600;Plantas con flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161605;Cactus;10161600;Plantas con flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161701;Gladiolos cortados;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161702;Azucenas cortadas;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161703;Claveles cortados;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161704;Tulipanes cortados;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161705;Rosas cortadas;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161707;Arreglo de flores cortadas;10161700;Flores cortadas;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161801;Helechos;10161800;Plantas sin flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161802;Hiedra;10161800;Plantas sin flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161803;Filodendros;10161800;Plantas sin flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161804;Líquenes;10161800;Plantas sin flor;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161901;Vainas secas;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161902;Follaje seco;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161903;Helechos secos;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161904;Flores secas;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161905;Ramitas y tallos secos;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161906;Penachos de gramíneas secos;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161907;Flores secas prensadas;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10161908;Pétalos secos;10161900;Productos vegetales secos;Productos de floricultura y silvicultura;Artículos para plantas y animales
10171501;Estiércol o guano;10171500;Abonos orgánicos;Abonos y herbicidas;Artículos para plantas y animales
10171502;Hormonas para plantas;10171500;Abonos orgánicos;Abonos y herbicidas;Artículos para plantas y animales
10171503;Harina de pescado;10171500;Abonos orgánicos;Abonos y herbicidas;Artículos para plantas y animales
10171504;Compost;10171500;Abonos orgánicos;Abonos y herbicidas;Artículos para plantas y animales
10171601;Abono nitrogenado;10171600;Abonos químicos;Abonos y herbicidas;Artículos para plantas y animales
10171602;Abono potásico;10171600;Abonos químicos;Abonos y herbicidas;Artículos para plantas y animales
10171603;Abono fosfático;10171600;Abonos químicos;Abonos y herbicidas;Artículos para plantas y animales
10171604;Abono sulfúrico;10171600;Abonos químicos;Abonos y herbicidas;Artículos para plantas y animales
10171605;Mezclas NPK (nitrógeno, fósforo y potasio);10171600;Abonos químicos;Abonos y herbicidas;Artículos para plantas y animales
10171701;Herbicida de malezas;10171700;Herbicidas;Abonos y herbicidas;Artículos para plantas y animales
10171702;Fungicidas;10171700;Herbicidas;Abonos y herbicidas;Artículos para plantas y animales
10191506;Raticidas;10191500;Pesticidas o repelentes de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191507;Repelentes para pájaros;10191500;Pesticidas o repelentes de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191508;Repelentes anti termitas;10191500;Pesticidas o repelentes de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191509;Insecticidas;10191500;Pesticidas o repelentes de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191701;Trampas para control de animales;10191700;Dispositivos para control de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191703;Interceptor de control para insectos volantes;10191700;Dispositivos para control de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191704;Matamoscas;10191700;Dispositivos para control de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191705;Lazos;10191700;Dispositivos para control de plagas;Productos para el control de plagas;Artículos para plantas y animales
10191706;Cepos;10191700;Dispositivos para control de plagas;Productos para el control de plagas;Artículos para plantas y animales
11101501;Mica;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101502;Esmeril;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101503;Cuarzo;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101504;Pirita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101505;Azufre;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101506;Yeso;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101507;Grafito;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101508;Dolomita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101509;Magnesita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101510;Amianto;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101511;Calcio;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101512;Borato;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101513;Criolita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101514;Feldespato;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101515;Leucita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101516;Nefelita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101517;Esteatita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101518;Talco;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101519;Diamantes;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101520;Granates;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101521;Carburo de silicio;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101522;Carbón activado;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101523;Mulita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101524;Espato flúor;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101525;Kieserita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101526;Carnalita;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101527;Sílice de diatomeas;11101500;Minerales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101601;Mineral de hierro;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101602;Mineral de titanio;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101603;Mineral de uranio;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101604;Mineral de cobre;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101605;Mineral de aluminio;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101606;Mineral de níquel;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
11101607;Mineral de plata;11101600;Metales;Minerales y metales;Productos derivados de minerales, plantas y animales
